,,Plaza ID :,,203 - CAHAYA BARU,,,,,Transaction Inquiry,,,,06/10/2025 14:00:35,,,,
80,203,K01,202,4,01/10/2025 14:42:32,2,2,TNG,8.50,,3351976101,,8.50,,6.84,,
68,203,M02,,2,01/10/2025 14:42:34,1,,ENTRY,,,4107765679,,,,,,
81,203,K01,204,4,01/10/2025 14:42:45,3,3,TNG,14.40,,1018583215,,14.40,,73.82,,
68,203,M01,,2,01/10/2025 14:42:45,1,,ENTRY,,,1307778479,,,,,,
47,203,K02,201,4,01/10/2025 14:42:45,3,3,ABTC,18.40,,1107051983,,18.40,,40.73,,
68,203,M01,,2,01/10/2025 14:42:46,,,,0.00, ,1307778479, ,0.00,,0.00,54,TngAutorefillDisable
69,203,M02,,2,01/10/2025 14:42:48,1,,ENTRY,,,1782798319,,,,,,
488,203,M07,,1,01/10/2025 14:42:57,1,,ENTRY,,3,E2801105200077820BF90A5A,JRL3238,,,,,
82,203,K01,202,4,01/10/2025 14:43:03,1,1,TNG,5.60,,1741375983,,5.60,,65.18,,
70,203,M02,,2,01/10/2025 14:43:13,1,,ENTRY,,,1056629199,,,,,,
48,203,K02,202,4,01/10/2025 14:43:13,1,1,TNG,5.60,,2006748399,,5.60,,10.76,,
83,203,K01,204,4,01/10/2025 14:43:19,1,1,TNG,7.20,,4108148175,,7.20,,90.30,,
69,203,M01,,2,01/10/2025 14:43:22,1,,ENTRY,,,4147084495,,,,,,
41,203,K04,202,2,01/10/2025 14:43:22,1,1,ABTC,5.60,,1306148047,,5.60,,65.20,,
52,203,M06,,2,01/10/2025 14:43:26,1,,ENTRY,,,1688674543,,,,,,
489,203,M07,,1,01/10/2025 14:43:30,1,,ENTRY,,3,E28011052000714BF61C0AD3,JWE6451,,,,,
49,203,K02,204,4,01/10/2025 14:43:33,1,1,TNG,7.20,,1123532975,,7.20,,233.44,,
21,203,K06,201,2,01/10/2025 14:43:38,1,1,RFID,9.20,3,E28011052000790ACA050A55,WC3037L,9.20,,70.80,,
71,203,M02,,2,01/10/2025 14:43:39,1,,ENTRY,,,4067774767,,,,,,
84,203,K01,202,4,01/10/2025 14:43:41,1,1,ABTC,5.60,,1035921487,,5.60,,"1,120.83",,
70,203,M01,,2,01/10/2025 14:43:50,1,,ENTRY,,,1779231247,,,,,,
72,203,M02,,2,01/10/2025 14:43:57,1,,ENTRY,,,4068367599,,,,,,
71,203,M01,,2,01/10/2025 14:44:19,1,,ENTRY,,,4147583855,,,,,,
73,203,M02,,2,01/10/2025 14:44:22,1,,ENTRY,,,1300145551,,,,,,
73,203,M02,,2,01/10/2025 14:44:23,,,,0.00, ,1300145551, ,0.00,,0.00,54,TngAutorefillDisable
53,203,M06,,2,01/10/2025 14:44:30,1,,ENTRY,,,1294924783,,,,,,
85,203,K01,202,4,01/10/2025 14:44:31,1,1,TNG,5.60,,1295936303,,5.60,,25.30,,
490,203,M07,,1,01/10/2025 14:44:34,1,,ENTRY,,3,E2806F122000AD02413074D2,JMT2226,,,,,
72,203,M01,,2,01/10/2025 14:44:38,1,,ENTRY,,,1067708015,,,,,,
86,203,K01,201,4,01/10/2025 14:44:49,1,1,TNG,9.20,,1636457903,,9.20,,232.84,,
54,203,M06,,2,01/10/2025 14:44:50,1,,ENTRY,,,1170507503,,,,,,
46,203,M04,,2,01/10/2025 14:44:51,1,,ENTRY,,,4067784655,,,,,,
74,203,M02,,2,01/10/2025 14:44:53,1,,ENTRY,,,1308188175,,,,,,
74,203,M02,,2,01/10/2025 14:44:54,,,,0.00, ,1308188175, ,0.00,,0.00,54,TngAutorefillDisable
73,203,M01,,2,01/10/2025 14:45:11,1,,ENTRY,,,4124185935,,,,,,
47,203,M04,,2,01/10/2025 14:45:17,1,,ENTRY,,,1168405679,,,,,,
75,203,M02,,2,01/10/2025 14:45:33,1,,ENTRY,,,1744618863,,,,,,
87,203,K01,201,4,01/10/2025 14:45:35,3,3,TNG,18.40,,1707551759,,18.40,,75.41,,
52,203,K02,204,4,01/10/2025 14:45:36,3,3,TNG,14.40,,1708851215,,14.40,,7.31,,
24,203,K05,204,2,01/10/2025 14:45:38,1,1,ABTC,7.20,,1777032463,,7.20,,12.67,,
74,203,M01,,2,01/10/2025 14:45:55,1,,ENTRY,,,1006595247,,,,,,
42,203,K04,201,2,01/10/2025 14:45:56,1,1,TNG,9.20,,1345389967,,9.20,,21.37,,
22,203,K06,202,2,01/10/2025 14:46:01,1,1,RFID,5.60,3,E28011052000715DC8450A55,WQM7937,5.60,,842.37,,
48,203,M04,,2,01/10/2025 14:46:09,1,,ENTRY,,,4241260751,,,,,,
55,203,M06,,2,01/10/2025 14:46:15,1,,ENTRY,,,2230320495,,,,,,
53,203,K02,204,4,01/10/2025 14:46:48,1,1,TNG,7.20,,3224688485,,7.20,,1.61,,
25,203,K05,202,2,01/10/2025 14:46:50,1,1,TNG,5.60,,4277591695,,5.60,,202.85,,
89,203,K01,204,4,01/10/2025 14:46:52,1,1,TNG,7.20,,2231184943,,7.20,,5.71,,
75,203,M01,,2,01/10/2025 14:46:58,1,,ENTRY,,,2008021455,,,,,,
491,203,M07,,1,01/10/2025 14:46:58,1,,ENTRY,,3,E2806F122000BE02424B06DC,JRP8798,,,,,
55,203,K02,201,4,01/10/2025 14:47:07,2,2,TNG,13.80,,1163866063,,13.80,,89.04,,
492,203,M07,,1,01/10/2025 14:47:14,1,,ENTRY,,3,E2801105200070D93F6B09A4,JRC608,,,,,
76,203,M02,,2,01/10/2025 14:47:14,1,,ENTRY,,,1282093647,,,,,,
76,203,M01,,2,01/10/2025 14:47:17,1,,ENTRY,,,1285024015,,,,,,
56,203,K02,201,4,01/10/2025 14:47:18,3,3,TNG,18.40,,3210528367,,18.40,,341.71,,
26,203,K05,201,2,01/10/2025 14:47:19,1,1,TNG,9.20,,1345937519,,9.20,,406.20,,
49,203,M04,,2,01/10/2025 14:47:21,1,,ENTRY,,,1012254447,,,,,,
90,203,K01,204,4,01/10/2025 14:47:21,1,1,TNG,7.20,,1106595183,,7.20,,1.91,,
77,203,M02,,2,01/10/2025 14:47:30,1,,ENTRY,,,1088586735,,,,,,
57,203,K02,201,4,01/10/2025 14:47:30,3,3,TNG,18.40,,4145507439,,18.40,,830.27,,
91,203,K01,204,4,01/10/2025 14:47:31,3,3,TNG,14.40,,1757080239,,14.40,,75.41,,
78,203,M02,,2,01/10/2025 14:47:42,1,,ENTRY,,,1029132271,,,,,,
493,203,M07,,1,01/10/2025 14:47:43,1,,ENTRY,,3,E2806F122000650241209894,VIP816,,,,,
92,203,K01,204,4,01/10/2025 14:47:44,2,2,TNG,10.80,,1759002063,,10.80,,50.48,,
77,203,M01,,2,01/10/2025 14:47:45,1,,ENTRY,,,3905195887,,,,,,
79,203,M02,,2,01/10/2025 14:47:49,1,,ENTRY,,,1006565487,,,,,,
78,203,M01,,2,01/10/2025 14:47:55,1,,ENTRY,,,1889933391,,,,,,
27,203,K05,204,2,01/10/2025 14:47:57,1,1,TNG,7.20,,1894864399,,7.20,,26.00,,
58,203,K02,201,4,01/10/2025 14:48:03,1,1,TNG,9.20,,1162589551,,9.20,,215.12,,
43,203,K04,204,2,01/10/2025 14:48:05,1,1,TNG,7.20,,3094889423,,7.20,,14.65,,
94,203,K01,204,4,01/10/2025 14:48:12,1,1,TNG,7.20,,2217410319,,7.20,,18.55,,
95,203,K01,201,4,01/10/2025 14:48:21,1,1,TNG,9.20,,1892153871,,9.20,,3.73,,
59,203,K02,201,4,01/10/2025 14:48:24,1,1,TNG,9.20,,3307272815,,9.20,,159.10,,
97,203,K01,204,4,01/10/2025 14:48:43,1,1,TNG,7.20,,3347343439,,7.20,,43.87,,
56,203,M06,,2,01/10/2025 14:48:48,1,,ENTRY,,,1889769615,,,,,,
60,203,K02,201,4,01/10/2025 14:48:52,3,3,TNG,18.40,,1243566383,,18.40,,320.59,,
79,203,M01,,2,01/10/2025 14:48:53,1,,ENTRY,,,4128423567,,,,,,
57,203,M06,,2,01/10/2025 14:48:55,1,,ENTRY,,,1135389839,,,,,,
80,203,M02,,2,01/10/2025 14:49:08,1,,ENTRY,,,2006748399,,,,,,
80,203,M01,,2,01/10/2025 14:49:13,1,,ENTRY,,,3119475951,,,,,,
61,203,K02,201,4,01/10/2025 14:49:14,3,3,TNG,18.40,,1243461519,,18.40,,317.09,,
98,203,K01,201,4,01/10/2025 14:49:16,3,3,TNG,18.40,,3229307759,,18.40,,74.80,,
45,203,K04,202,2,01/10/2025 14:49:47,1,1,TNG,5.60,,3141479439,,5.60,,17.56,,
81,203,M01,,2,01/10/2025 14:49:47,1,,ENTRY,,,4246431279,,,,,,
23,203,K06,201,2,01/10/2025 14:49:51,1,1,RFID,9.20,3,E2806F12200033023E9CBE5C,X232,9.20,,52.08,,
58,203,M06,,2,01/10/2025 14:49:53,1,,ENTRY,,,3229524495,,,,,,
62,203,K02,204,4,01/10/2025 14:50:11,1,1,TNG,7.20,,1862157199,,7.20,,2.53,,
59,203,M06,,2,01/10/2025 14:50:14,1,,ENTRY,,,1303343631,,,,,,
82,203,M01,,2,01/10/2025 14:50:19,1,,ENTRY,,,1028498607,,,,,,
99,203,K01,204,4,01/10/2025 14:50:20,1,1,ABTC,7.20,,1866996527,,7.20,,72.80,,
60,203,M06,,2,01/10/2025 14:50:22,1,,ENTRY,,,3141479439,,,,,,
63,203,K02,,4,01/10/2025 14:50:22,,,,0.00, ,1022678159, ,0.00,,0.00,07,  to 
24,203,K06,202,2,01/10/2025 14:50:25,1,1,RFID,5.60,3,E2801105200072D5E1530A55,GT1441,5.60,,75.80,,
50,203,M04,,2,01/10/2025 14:50:26,1,,ENTRY,,,1129421071,,,,,,
81,203,M02,,2,01/10/2025 14:50:28,1,,ENTRY,,,1728059119,,,,,,
83,203,M01,,2,01/10/2025 14:50:37,1,,ENTRY,,,3114220879,,,,,,
61,203,M06,,2,01/10/2025 14:50:44,1,,ENTRY,,,1887131279,,,,,,
62,203,M06,,2,01/10/2025 14:50:51,1,,ENTRY,,,1021495919,,,,,,
66,203,K02,,4,01/10/2025 14:50:52,,,,0.00, ,1022678159, ,0.00,,0.00,04,"Violation, AVC: 1"
82,203,M02,,2,01/10/2025 14:50:55,1,,ENTRY,,,4147053295,,,,,,
84,203,M01,,2,01/10/2025 14:51:02,1,,ENTRY,,,1335685359,,,,,,
83,203,M02,,2,01/10/2025 14:51:17,1,,ENTRY,,,2000642223,,,,,,
85,203,M01,,2,01/10/2025 14:51:18,1,,ENTRY,,,1243583055,,,,,,
85,203,M01,,2,01/10/2025 14:51:19,,,,0.00, ,1243583055, ,0.00,,0.00,54,TngAutorefillDisable
100,203,K01,202,4,01/10/2025 14:51:24,3,3,ABTC,11.30,,1891556015,,11.30,,"1,355.40",,
84,203,M02,,2,01/10/2025 14:51:34,1,,ENTRY,,,2007670959,,,,,,
63,203,M06,,2,01/10/2025 14:51:37,1,,ENTRY,,,1262617199,,,,,,
86,203,M01,,2,01/10/2025 14:51:40,1,,ENTRY,,,1735087407,,,,,,
494,203,M07,,1,01/10/2025 14:51:56,1,,ENTRY,,3,E280110520007192E9180ACC,JTB5453,,,,,
25,203,K06,204,2,01/10/2025 14:52:01,1,1,RFID,7.20,3,E2806F122000F00241379701,DEA3397,7.20,,72.80,,
28,203,K05,204,2,01/10/2025 14:52:01,1,1,TNG,7.20,,2217492687,,7.20,,83.03,,
46,203,K04,204,2,01/10/2025 14:52:04,1,1,TNG,7.20,,1838652559,,7.20,,16.80,,
101,203,K01,201,4,01/10/2025 14:52:11,3,3,TNG,18.40,,1042385679,,18.40,,850.50,,
29,203,K05,204,2,01/10/2025 14:52:13,1,1,ABTC,7.20,,1865400719,,7.20,,189.80,,
67,203,K02,204,4,01/10/2025 14:52:25,3,3,TNG,14.40,,1245102127,,14.40,,77.42,,
85,203,M02,,2,01/10/2025 14:53:05,1,,ENTRY,,,1295936303,,,,,,
64,203,M06,,2,01/10/2025 14:53:05,1,,ENTRY,,,3355049269,,,,,,
30,203,K05,202,2,01/10/2025 14:53:08,1,1,TNG,5.60,,4195185423,,5.60,,137.74,,
87,203,M01,,2,01/10/2025 14:53:11,1,,ENTRY,,,1320507471,,,,,,
65,203,M06,,2,01/10/2025 14:53:18,1,,ENTRY,,,1769746383,,,,,,
47,203,K04,202,2,01/10/2025 14:53:29,1,1,TNG,5.60,,2216287119,,5.60,,9.49,,
88,203,M01,,2,01/10/2025 14:53:38,1,,ENTRY,,,1082170639,,,,,,
495,203,M07,,1,01/10/2025 14:53:38,1,,ENTRY,,3,E2801105200078DCF3AF0ACE,UTM9491,,,,,
51,203,M04,,2,01/10/2025 14:53:43,1,,ENTRY,,,1123311695,,,,,,
31,203,K05,202,2,01/10/2025 14:53:56,1,1,TNG,5.60,,1884115087,,5.60,,6.16,,
48,203,K04,204,2,01/10/2025 14:54:21,1,1,TNG,7.20,,1766928911,,7.20,,18.45,,
33,203,K05,204,2,01/10/2025 14:54:24,1,1,TNG,7.20,,0322542063,,7.20,,128.37,,
34,203,K05,204,2,01/10/2025 14:54:37,1,1,TNG,7.20,,1876970063,,7.20,,34.11,,
89,203,M01,,2,01/10/2025 14:54:39,1,,ENTRY,,,1057948943,,,,,,
35,203,K05,204,2,01/10/2025 14:54:48,1,1,TNG,7.20,,1332133167,,7.20,,0.11,,
90,203,M01,,2,01/10/2025 14:55:03,1,,ENTRY,,,3290804815,,,,,,
86,203,M02,,2,01/10/2025 14:55:14,1,,ENTRY,,,3049049967,,,,,,
87,203,M02,,2,01/10/2025 14:55:32,1,,ENTRY,,,1042264047,,,,,,
66,203,M06,,2,01/10/2025 14:55:43,1,,ENTRY,,,1716524591,,,,,,
88,203,M02,,2,01/10/2025 14:55:46,1,,ENTRY,,,1084448207,,,,,,
91,203,M01,,2,01/10/2025 14:55:49,1,,ENTRY,,,1723577775,,,,,,
67,203,M06,,2,01/10/2025 14:55:58,1,,ENTRY,,,4151959631,,,,,,
49,203,K04,204,2,01/10/2025 14:56:07,1,1,ABTC,7.20,,2209313967,,7.20,,15.63,,
26,203,K06,204,2,01/10/2025 14:56:08,1,1,RFID,7.20,3,E280110520007114E20F0A55,JNJ2318,7.20,,47.75,,
102,203,K01,202,4,01/10/2025 14:56:08,3,3,TNG,11.30,,1655956527,,11.30,,324.20,,
68,203,M06,,2,01/10/2025 14:56:10,1,,ENTRY,,,4033940591,,,,,,
52,203,M04,,2,01/10/2025 14:56:11,1,,ENTRY,,,1652930543,,,,,,
92,203,M01,,2,01/10/2025 14:56:12,1,,ENTRY,,,1214702991,,,,,,
89,203,M02,,2,01/10/2025 14:56:12,1,,ENTRY,,,1888690287,,,,,,
68,203,K02,201,4,01/10/2025 14:56:17,2,2,TNG,13.80,,1875412175,,13.80,,36.58,,
37,203,K05,204,2,01/10/2025 14:56:18,1,1,TNG,7.20,,1216459599,,7.20,,92.92,,
69,203,M06,,2,01/10/2025 14:56:19,1,,ENTRY,,,1840511375,,,,,,
53,203,M04,,2,01/10/2025 14:56:37,1,,ENTRY,,,1801423503,,,,,,
90,203,M02,,2,01/10/2025 14:56:44,1,,ENTRY,,,4249343087,,,,,,
54,203,M04,,2,01/10/2025 14:56:47,1,,ENTRY,,,1690944303,,,,,,
496,203,M07,,1,01/10/2025 14:56:47,1,,ENTRY,,3,E2806F122000520241212073,FC542,,,,,
70,203,M06,,2,01/10/2025 14:56:48,1,,ENTRY,,,2240901839,,,,,,
70,203,K02,201,4,01/10/2025 14:56:53,1,1,TNG,9.20,,2242249007,,9.20,,18.90,,
93,203,M01,,2,01/10/2025 14:56:55,1,,ENTRY,,,4188976751,,,,,,
94,203,M01,,2,01/10/2025 14:57:09,1,,ENTRY,,,3365356751,,,,,,
27,203,K06,201,2,01/10/2025 14:57:13,1,1,RFID,9.20,3,E2806F122000C202424A615C,JXW4880,9.20,,40.80,,
71,203,M06,,2,01/10/2025 14:57:18,1,,ENTRY,,,1150654255,,,,,,
497,203,M07,,1,01/10/2025 14:57:34,1,,ENTRY,,3,E280110520007312E25E0A55,JNU8816,,,,,
95,203,M01,,2,01/10/2025 14:57:34,1,,ENTRY,,,1297782575,,,,,,
103,203,K01,202,4,01/10/2025 14:57:41,3,3,TNG,11.30,,4217244463,,11.30,,455.63,,
91,203,M02,,2,01/10/2025 14:57:49,1,,ENTRY,,,1746902799,,,,,,
50,203,K04,   ,2,01/10/2025 14:57:51,1,1,SVC,0.00,,3083490799,,0.00,,0.00,,
498,203,M07,,1,01/10/2025 14:58:09,1,,ENTRY,,3,E2806F122000C30241512D1B,JXN7478,,,,,
96,203,M01,,2,01/10/2025 14:58:15,1,,ENTRY,,,1024419983,,,,,,
72,203,M06,,2,01/10/2025 14:58:27,1,,ENTRY,,,3359183119,,,,,,
92,203,M02,,2,01/10/2025 14:58:40,1,,ENTRY,,,1066772111,,,,,,
55,203,M04,,2,01/10/2025 14:58:45,1,,ENTRY,,,1014628687,,,,,,
93,203,M02,,2,01/10/2025 14:58:54,1,,ENTRY,,,1074126863,,,,,,
93,203,M02,,2,01/10/2025 14:58:55,,,,0.00, ,1074126863, ,0.00,,0.00,54,TngAutorefillDisable
94,203,M02,,2,01/10/2025 14:59:02,1,,ENTRY,,,1166741711,,,,,,
104,203,K01,201,4,01/10/2025 14:59:02,3,3,TNG,18.40,,3316505743,,18.40,,49.85,,
56,203,M04,,2,01/10/2025 14:59:17,1,,ENTRY,,,1828666767,,,,,,
499,203,M07,,1,01/10/2025 14:59:18,1,,ENTRY,,3,E2806F1220005D0241214BBE,VA7950,,,,,
500,203,M07,,1,01/10/2025 14:59:23,1,,ENTRY,,3,E2806F1220003402424E9FB7,JWF2716,,,,,
73,203,M06,,2,01/10/2025 14:59:24,1,,ENTRY,,,1874124559,,,,,,
57,203,M04,,2,01/10/2025 14:59:24,1,,ENTRY,,,1138845967,,,,,,
105,203,K01,202,4,01/10/2025 14:59:30,3,3,TNG,11.30,,2244821775,,11.30,,53.07,,
95,203,M02,,2,01/10/2025 14:59:33,1,,ENTRY,,,1748373135,,,,,,
73,203,K02,201,4,01/10/2025 14:59:42,2,2,TNG,13.80,,3314278191,,13.80,,37.87,,
74,203,M06,,2,01/10/2025 14:59:43,1,,ENTRY,,,1767971663,,,,,,
96,203,M02,,2,01/10/2025 14:59:45,1,,ENTRY,,,1068158319,,,,,,
107,203,K01,201,4,01/10/2025 15:00:02,3,3,TNG,18.40,,1656264463,,18.40,,204.25,,
97,203,M02,,2,01/10/2025 15:00:04,1,,ENTRY,,,1605204303,,,,,,
58,203,M04,,2,01/10/2025 15:00:09,1,,ENTRY,,,2240876783,,,,,,
98,203,M02,,2,01/10/2025 15:00:14,1,,ENTRY,,,4271991247,,,,,,
75,203,M06,,2,01/10/2025 15:00:30,1,,ENTRY,,,1124069935,,,,,,
99,203,M02,,2,01/10/2025 15:00:30,1,,ENTRY,,,1696669199,,,,,,
100,203,M02,,2,01/10/2025 15:00:41,1,,ENTRY,,,1274401071,,,,,,
501,203,M07,,1,01/10/2025 15:00:42,1,,ENTRY,,3,E2806F1220003202413ADBFF,JWC5995,,,,,
101,203,M02,,2,01/10/2025 15:00:57,1,,ENTRY,,,2224759599,,,,,,
74,203,K02,202,4,01/10/2025 15:00:58,1,1,TNG,5.60,,1783136271,,5.60,,11.61,,
102,203,M02,,2,01/10/2025 15:01:12,1,,ENTRY,,,1745597871,,,,,,
103,203,M02,,2,01/10/2025 15:01:27,1,,ENTRY,,,1006459823,,,,,,
103,203,M02,,2,01/10/2025 15:01:28,,,,0.00, ,1006459823, ,0.00,,0.00,54,TngAutorefillDisable
104,203,M02,,2,01/10/2025 15:01:41,1,,ENTRY,,,1285739087,,,,,,
109,203,K01,204,4,01/10/2025 15:01:46,1,1,TNG,7.20,,4202955471,,7.20,,5.94,,
105,203,M02,,2,01/10/2025 15:02:00,1,,ENTRY,,,1276815695,,,,,,
59,203,M04,,2,01/10/2025 15:02:13,1,,ENTRY,,,1133899343,,,,,,
38,203,K05,202,2,01/10/2025 15:02:13,1,1,TNG,5.60,,3934970095,,5.60,,11.44,,
76,203,M06,,2,01/10/2025 15:02:33,1,,ENTRY,,,4067225263,,,,,,
60,203,M04,,2,01/10/2025 15:02:35,1,,ENTRY,,,2278020655,,,,,,
39,203,K05,201,2,01/10/2025 15:02:37,1,1,TNG,9.20,,1850676335,,9.20,,102.03,,
502,203,M07,,1,01/10/2025 15:02:40,1,,ENTRY,,3,E2C06A122000A9022CC051D8,SNB2012B,,,,,
61,203,M04,,2,01/10/2025 15:02:43,1,,ENTRY,,,3038051535,,,,,,
106,203,M02,,2,01/10/2025 15:02:44,1,,ENTRY,,,1610533615,,,,,,
110,203,K01,204,4,01/10/2025 15:02:50,3,3,TNG,14.40,,2165655311,,14.40,,9.58,,
77,203,M06,,2,01/10/2025 15:02:54,1,,ENTRY,,,1181036591,,,,,,
503,203,M07,,1,01/10/2025 15:02:55,1,,ENTRY,,3,E280110520007A9B9D0E0A1C,JRS5238,,,,,
62,203,M04,,2,01/10/2025 15:02:59,1,,ENTRY,,,1615567119,,,,,,
78,203,M06,,2,01/10/2025 15:03:01,1,,ENTRY,,,1796352399,,,,,,
79,203,M06,,2,01/10/2025 15:03:07,1,,ENTRY,,,1145525455,,,,,,
107,203,M02,,2,01/10/2025 15:03:08,1,,ENTRY,,,4126392687,,,,,,
75,203,K02,202,4,01/10/2025 15:03:12,1,1,TNG,5.60,,2250239247,,5.60,,46.84,,
111,203,K01,201,4,01/10/2025 15:03:14,1,1,ABTC,9.20,,4037454159,,9.20,,70.80,,
108,203,M02,,2,01/10/2025 15:03:25,1,,ENTRY,,,4077928335,,,,,,
112,203,K01,202,4,01/10/2025 15:03:26,3,3,TNG,11.30,,1006274511,,11.30,,129.48,,
76,203,K02,204,4,01/10/2025 15:03:28,1,1,TNG,7.20,,1862430607,,7.20,,21.27,,
504,203,M07,,1,01/10/2025 15:03:28,1,,ENTRY,,3,E2806F122000DE02412D7719,JLQ1515,,,,,
80,203,M06,,2,01/10/2025 15:03:29,1,,ENTRY,,,1319331535,,,,,,
109,203,M02,,2,01/10/2025 15:03:34,1,,ENTRY,,,1897613999,,,,,,
110,203,M02,,2,01/10/2025 15:04:02,1,,ENTRY,,,1243240303,,,,,,
63,203,M04,,2,01/10/2025 15:04:08,1,,ENTRY,,,2257533103,,,,,,
51,203,K04,201,2,01/10/2025 15:04:26,1,1,TNG,9.20,,4046406895,,9.20,,1.00,,
113,203,K01,204,4,01/10/2025 15:04:36,2,2,TNG,10.80,,1176736687,,10.80,,69.70,,
111,203,M02,,2,01/10/2025 15:04:42,1,,ENTRY,,,1053102223,,,,,,
111,203,M02,,2,01/10/2025 15:04:43,,,,0.00, ,1053102223, ,0.00,,0.00,54,TngAutorefillDisable
114,203,K01,204,4,01/10/2025 15:04:51,1,1,TNG,7.20,,1897425103,,7.20,,30.70,,
77,203,K02,204,4,01/10/2025 15:04:51,1,1,TNG,7.20,,1655986063,,7.20,,361.13,,
112,203,M02,,2,01/10/2025 15:04:57,1,,ENTRY,,,1711017199,,,,,,
97,203,M01,,2,01/10/2025 15:05:00,1,,ENTRY,,,1300317007,,,,,,
115,203,K01,201,4,01/10/2025 15:05:06,1,1,TNG,9.20,,1705885199,,9.20,,74.06,,
113,203,M02,,2,01/10/2025 15:05:06,1,,ENTRY,,,3257865487,,,,,,
52,203,K04,204,2,01/10/2025 15:05:08,1,1,TNG,7.20,,2167292591,,7.20,,83.36,,
505,203,M07,,1,01/10/2025 15:05:09,1,,ENTRY,,3,E2801105200076C1C8760A55,JTD6670,,,,,
28,203,K06,204,2,01/10/2025 15:05:17,1,1,RFID,7.20,3,E2806F122000AE0241313379,JVS8127,7.20,,879.40,,
114,203,M02,,2,01/10/2025 15:05:18,1,,ENTRY,,,1097642703,,,,,,
40,203,K05,204,2,01/10/2025 15:05:20,1,1,TNG,7.20,,1787637039,,7.20,,24.63,,
64,203,M04,,2,01/10/2025 15:05:20,1,,ENTRY,,,1031816335,,,,,,
81,203,M06,,2,01/10/2025 15:05:21,1,,ENTRY,,,2227743247,,,,,,
78,203,K02,204,4,01/10/2025 15:05:22,2,2,TNG,10.80,,2237743183,,10.80,,44.90,,
53,203,K04,204,2,01/10/2025 15:05:22,1,1,ABTC,7.20,,2233974383,,7.20,,42.08,,
98,203,M01,,2,01/10/2025 15:05:30,1,,ENTRY,,,3313972399,,,,,,
41,203,K05,202,2,01/10/2025 15:05:31,1,1,TNG,5.60,,4163304943,,5.60,,89.73,,
117,203,K01,204,4,01/10/2025 15:05:36,1,1,TNG,7.20,,2242756271,,7.20,,18.37,,
118,203,K01,201,4,01/10/2025 15:05:50,3,3,TNG,18.40,,4244361775,,18.40,,183.98,,
65,203,M04,,2,01/10/2025 15:05:51,1,,ENTRY,,,1295581327,,,,,,
54,203,K04,201,2,01/10/2025 15:06:50,1,1,TNG,9.20,,1808295855,,9.20,,111.83,,
29,203,K06,202,2,01/10/2025 15:06:59,1,1,RFID,5.60,3,E2806F12200081024150A9EC,WSB298,5.60,,886.32,,
82,203,M06,,2,01/10/2025 15:07:05,1,,ENTRY,,,1017441455,,,,,,
506,203,M07,,1,01/10/2025 15:07:12,1,,ENTRY,,3,E280110520007A4CE1840A55,JTK8620,,,,,
119,203,K01,201,4,01/10/2025 15:07:21,3,3,TNG,18.40,,4284155279,,18.40,,86.68,,
115,203,M02,,2,01/10/2025 15:07:32,1,,ENTRY,,,3278051247,,,,,,
42,203,K05,201,2,01/10/2025 15:07:49,1,1,ABTC,9.20,,1017148527,,9.20,,43.45,,
120,203,K01,201,4,01/10/2025 15:08:03,2,2,TNG,13.80,,1704589935,,13.80,,160.35,,
99,203,M01,,2,01/10/2025 15:08:18,1,,ENTRY,,,4246315823,,,,,,
79,203,K02,201,4,01/10/2025 15:08:22,3,3,TNG,18.40,,4147224143,,18.40,,63.80,,
121,203,K01,202,4,01/10/2025 15:08:22,3,3,TNG,11.30,,1036056303,,11.30,,103.03,,
43,203,K05,202,2,01/10/2025 15:08:23,1,1,ABTC,5.60,,4041680527,,5.60,,"7,604.14",,
55,203,K04,204,2,01/10/2025 15:08:25,1,1,TNG,7.20,,1782482895,,7.20,,12.04,,
83,203,M06,,2,01/10/2025 15:08:26,1,,ENTRY,,,1636430671,,,,,,
44,203,K05,201,2,01/10/2025 15:08:30,1,1,ABTC,9.20,,1762514927,,9.20,,350.66,,
116,203,M02,,2,01/10/2025 15:08:36,1,,ENTRY,,,4148409071,,,,,,
66,203,M04,,2,01/10/2025 15:08:38,1,,ENTRY,,,1093985967,,,,,,
56,203,K04,204,2,01/10/2025 15:08:40,1,1,TNG,7.20,,1896441487,,7.20,,41.16,,
122,203,K01,202,4,01/10/2025 15:08:44,3,3,TNG,11.30,,1006962063,,11.30,,93.30,,
84,203,M06,,2,01/10/2025 15:08:49,1,,ENTRY,,,1165040559,,,,,,
57,203,K04,201,2,01/10/2025 15:08:58,1,1,ABTC,9.20,,4233473391,,9.20,,16.64,,
123,203,K01,204,4,01/10/2025 15:09:03,1,1,TNG,7.20,,3227327173,,7.20,,2.00,,
80,203,K02,201,4,01/10/2025 15:09:06,1,1,TNG,9.20,,4151690127,,9.20,,136.85,,
85,203,M06,,2,01/10/2025 15:09:13,1,,ENTRY,,,1328750703,,,,,,
124,203,K01,204,4,01/10/2025 15:09:14,1,1,TNG,7.20,,4081467663,,7.20,,3.27,,
67,203,M04,,2,01/10/2025 15:09:14,1,,ENTRY,,,1107377743,,,,,,
58,203,K04,204,2,01/10/2025 15:09:18,1,1,TNG,7.20,,1037248143,,7.20,,14.29,,
125,203,K01,204,4,01/10/2025 15:09:25,2,2,TNG,10.80,,4042174511,,10.80,,30.04,,
81,203,K02,204,4,01/10/2025 15:09:25,3,3,TNG,14.40,,1147432847,,14.40,,86.60,,
